,album,track_number,id,name,uri,preview_url,artists,energy,valence,popularity,mood_vectors
1074,Yoga Music,16,3LQzOfnnGOpJGWeO1mMMDs,Winds of Haryana,spotify:track:3LQzOfnnGOpJGWeO1mMMDs,https://p.scdn.co/mp3-preview/435f1bac8c1e9d734dea71199faa249d70a47dd8?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5VMpyeQNlYtPipmkNpxRt0'}, 'href': 'https://api.spotify.com/v1/artists/5VMpyeQNlYtPipmkNpxRt0', 'id': '5VMpyeQNlYtPipmkNpxRt0', 'name': 'Muni Yogi', 'type': 'artist', 'uri': 'spotify:artist:5VMpyeQNlYtPipmkNpxRt0'}]",0.116,0.0444,22,"[0.0444, 0.116]"
1075,Yoga Music,17,0PEnvVQaNO9ZCE5Onlm7RE,The Roads,spotify:track:0PEnvVQaNO9ZCE5Onlm7RE,https://p.scdn.co/mp3-preview/2222d1fc640609db89772fa590ccc51fe4cfa8c3?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4wHW2mQQfB57p5IEdhB4SI'}, 'href': 'https://api.spotify.com/v1/artists/4wHW2mQQfB57p5IEdhB4SI', 'id': '4wHW2mQQfB57p5IEdhB4SI', 'name': 'Emblemic X', 'type': 'artist', 'uri': 'spotify:artist:4wHW2mQQfB57p5IEdhB4SI'}]",0.0578,0.203,25,"[0.203, 0.0578]"
1076,Yoga Music,18,6gorMsD3ggG4vTqh4X7ihp,The Golden Path,spotify:track:6gorMsD3ggG4vTqh4X7ihp,https://p.scdn.co/mp3-preview/4ad29c8e4c6d3b3446840519a4ebd42583b17863?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/51Uvstdjh6X74kTzxdopzO'}, 'href': 'https://api.spotify.com/v1/artists/51Uvstdjh6X74kTzxdopzO', 'id': '51Uvstdjh6X74kTzxdopzO', 'name': 'Kumbhaka', 'type': 'artist', 'uri': 'spotify:artist:51Uvstdjh6X74kTzxdopzO'}]",0.138,0.0332,26,"[0.0332, 0.138]"
1077,Yoga Music,19,5ZAJoaoiu3KJ7OoTio2OEU,From Night to Morning,spotify:track:5ZAJoaoiu3KJ7OoTio2OEU,https://p.scdn.co/mp3-preview/e5e9389508843801f4821d10fe5571b7f2c2deac?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6T31mMEmlR4YDtVTQtpPyc'}, 'href': 'https://api.spotify.com/v1/artists/6T31mMEmlR4YDtVTQtpPyc', 'id': '6T31mMEmlR4YDtVTQtpPyc', 'name': 'Antologie', 'type': 'artist', 'uri': 'spotify:artist:6T31mMEmlR4YDtVTQtpPyc'}]",0.144,0.0398,29,"[0.0398, 0.144]"
1078,Yoga Music,20,3UvIGwxH6YjK5tywAenZyC,Butterfly Effect,spotify:track:3UvIGwxH6YjK5tywAenZyC,https://p.scdn.co/mp3-preview/6b0beac060e7e3377b07a011639d879c36f12506?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2DGtEENrN5vjB1DXzRaL58'}, 'href': 'https://api.spotify.com/v1/artists/2DGtEENrN5vjB1DXzRaL58', 'id': '2DGtEENrN5vjB1DXzRaL58', 'name': 'Timothy Byrne', 'type': 'artist', 'uri': 'spotify:artist:2DGtEENrN5vjB1DXzRaL58'}]",0.164,0.0301,32,"[0.0301, 0.164]"
1079,Yoga Music,21,1vV8ZLjGUoUAVrP4Tmoitf,Voices,spotify:track:1vV8ZLjGUoUAVrP4Tmoitf,https://p.scdn.co/mp3-preview/eddaa0ccbb535da823ccbad3da3b8be2f91436b4?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6i1anbI9lYxG8g0440Up8r'}, 'href': 'https://api.spotify.com/v1/artists/6i1anbI9lYxG8g0440Up8r', 'id': '6i1anbI9lYxG8g0440Up8r', 'name': 'Juni Tinley', 'type': 'artist', 'uri': 'spotify:artist:6i1anbI9lYxG8g0440Up8r'}]",0.0194,0.0377,27,"[0.0377, 0.0194]"
1080,Yoga Music,22,5KKHP5wqAMR15IbCmNRwub,Pipers,spotify:track:5KKHP5wqAMR15IbCmNRwub,https://p.scdn.co/mp3-preview/08b818070a536198ed2aff5c2e448223b5851311?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5aAi2J1r2GmSXMeiG20jJp'}, 'href': 'https://api.spotify.com/v1/artists/5aAi2J1r2GmSXMeiG20jJp', 'id': '5aAi2J1r2GmSXMeiG20jJp', 'name': 'Yakamora', 'type': 'artist', 'uri': 'spotify:artist:5aAi2J1r2GmSXMeiG20jJp'}]",0.0926,0.0282,26,"[0.0282, 0.0926]"
1081,Yoga Music,23,754M7kBYPjPcPpyoN3Ti8C,Enchanted Dreams,spotify:track:754M7kBYPjPcPpyoN3Ti8C,https://p.scdn.co/mp3-preview/c5e0ebcfd18a24407ffdea2fd1ffb25421e2d009?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6T31mMEmlR4YDtVTQtpPyc'}, 'href': 'https://api.spotify.com/v1/artists/6T31mMEmlR4YDtVTQtpPyc', 'id': '6T31mMEmlR4YDtVTQtpPyc', 'name': 'Antologie', 'type': 'artist', 'uri': 'spotify:artist:6T31mMEmlR4YDtVTQtpPyc'}]",0.183,0.0328,25,"[0.0328, 0.183]"
1082,Secret Lullabies,1,4uuBK8ArJtZKOjoHqyMyuy,Pour l'amour de toi,spotify:track:4uuBK8ArJtZKOjoHqyMyuy,https://p.scdn.co/mp3-preview/4edab9e6a47bd22497257e52eec5508e162764a8?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5CPOQB9qV7OrmvJGkdTPBI'}, 'href': 'https://api.spotify.com/v1/artists/5CPOQB9qV7OrmvJGkdTPBI', 'id': '5CPOQB9qV7OrmvJGkdTPBI', 'name': 'Dream Relaxation', 'type': 'artist', 'uri': 'spotify:artist:5CPOQB9qV7OrmvJGkdTPBI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/7wcYGhAdnlsglHP4ty9b26'}, 'href': 'https://api.spotify.com/v1/artists/7wcYGhAdnlsglHP4ty9b26', 'id': '7wcYGhAdnlsglHP4ty9b26', 'name': 'Tranquil Cove', 'type': 'artist', 'uri': 'spotify:artist:7wcYGhAdnlsglHP4ty9b26'}]",0.0879,0.0379,27,"[0.0379, 0.0879]"
1083,Secret Lullabies,2,5fnKoEjvdzLWZ7G2TzflZL,Kundalini lama,spotify:track:5fnKoEjvdzLWZ7G2TzflZL,https://p.scdn.co/mp3-preview/7ce46be320bbc46aab58ba4f24d41e085e3cfc5b?cid=3a801d6e4c3e4435ac1c198bb146d2cc,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/5CPOQB9qV7OrmvJGkdTPBI'}, 'href': 'https://api.spotify.com/v1/artists/5CPOQB9qV7OrmvJGkdTPBI', 'id': '5CPOQB9qV7OrmvJGkdTPBI', 'name': 'Dream Relaxation', 'type': 'artist', 'uri': 'spotify:artist:5CPOQB9qV7OrmvJGkdTPBI'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/0eGpzO3YMOyEZRsrwH3Np8'}, 'href': 'https://api.spotify.com/v1/artists/0eGpzO3YMOyEZRsrwH3Np8', 'id': '0eGpzO3YMOyEZRsrwH3Np8', 'name': 'Advaitas', 'type': 'artist', 'uri': 'spotify:artist:0eGpzO3YMOyEZRsrwH3Np8'}]",0.134,0.0601,29,"[0.0601, 0.134]"
